# Stale kernel purge, 2026-08-03
# Criterion: a raw Image is KEPT only if it contains both pcie-apple and macsmc.
# All listed images are regenerable from the retained config-* files via t6040-kbuild.sh.

ACTION   IMAGE                                                    DATE          pcie/macsmc
KEEP     Image                                                    Aug-3 18:26   2/17
DELETE   Image-STALE-jul24-backup                                 Jul-24 23:57  0/0
KEEP     Image-alpine-sdroot-daily-v2.build1                      Aug-3 13:34   2/17
KEEP     Image-alpine-sdroot-daily-v2.build2                      Aug-3 15:28   2/17
DELETE   Image-b0-diet                                            Jul-25 17:49  0/11
KEEP     Image-b0-dietcap                                         Jul-25 23:01  2/11
DELETE   Image-dcuart-earlycon                                    Jul-25 00:11  0/0
KEEP     Image-dcuart-earlycon-ppp-cpufreq                        Aug-3 17:10   2/17
DELETE   Image-dcuart-irq                                         Jul-14 14:11  0/0
DELETE   Image-dcuart-irq-txpoll                                  Jul-14 15:09  0/0
DELETE   Image-dcuart-irq816                                      Jul-23 21:45  0/0
DELETE   Image-gadget                                             Jul-12 03:10  0/0
DELETE   Image-gadget-trace                                       Jul-12 13:50  0/0
DELETE   Image-hid-rx-rearm                                       Jul-23 17:48  0/0
DELETE   Image-hid-state-trace                                    Jul-23 21:52  0/0
DELETE   Image-hid-type-fix                                       Jul-25 17:50  0/0
KEEP     Image-hid-type-fix-dietcap                               Jul-25 23:00  2/11
DELETE   Image-hid-type-fix-repro                                 Jul-24 10:49  0/0
DELETE   Image-keyboard                                           Jul-11 20:21  0/0
DELETE   Image-keyboard-debug                                     Jul-11 17:08  0/0
DELETE   Image-macsmc                                             Jul-28 14:49  0/14
KEEP     Image-macsmc-dietcap-wifi-fw                             Jul-29 00:17  2/15
KEEP     Image-macsmc-hid-type-fix                                Jul-29 16:35  2/16
KEEP     Image-macsmc-hid-type-fix-nbcon-ppp-cpufreq              Aug-3 15:28   2/17
KEEP     Image-macsmc-hid-type-fix-nbcon-ppp-usb2-native-right    Jul-29 14:02  2/16
KEEP     Image-macsmc-hid-type-fix-nbcon-ppp-usb2-native-right.hid-build1 Jul-29 13:56  2/16
KEEP     Image-macsmc-hid-type-fix-nbcon-wifi-fw                  Jul-29 10:13  2/14
KEEP     Image-macsmc-hid-type-fix-trackpad-nbcon-ppp             Jul-29 23:09  2/16
KEEP     Image-macsmc-hid-type-fix-trackpad-nbcon-ppp-cpufreq     Aug-3 18:26   2/17
KEEP     Image-macsmc-hid-type-fix-trackpad-nbcon-ppp-diag        Jul-30 00:22  3/21
KEEP     Image-macsmc-hid-type-fix-trackpad-nbcon-ppp.build1      Jul-29 12:44  2/16
KEEP     Image-macsmc-hid-type-fix-trackpad-nbcon-ppp.build2      Jul-29 12:55  2/16
KEEP     Image-macsmc-hid-type-fix-wifi-fw                        Jul-29 00:45  2/14
KEEP     Image-macsmc-wifi-fw                                     Jul-29 00:24  2/14
DELETE   Image-nvme                                               Aug-3 15:34   0/0
DELETE   Image-nvme-ans-read                                      Jul-13 21:58  0/0
DELETE   Image-nvme-force-continue                                Jul-13 22:06  0/0
DELETE   Image-nvme-hardirq.build1                                Aug-3 15:37   0/0
DELETE   Image-nvme-hardirq.build2                                Aug-3 15:47   0/0
DELETE   Image-nvme-init-trace                                    Jul-14 06:57  0/0
DELETE   Image-nvme-nbcon                                         Aug-3 15:43   0/0
DELETE   Image-nvme-pmgr-force-active                             Jul-13 20:33  0/0
DELETE   Image-nvme-pmgr-snapshot                                 Jul-13 16:05  0/0
DELETE   Image-nvme-staged                                        Jul-13 11:42  0/0
DELETE   Image-nvme-threaded-irq                                  Aug-3 12:43   0/0
DELETE   Image-nvme-threaded-irq.build1                           Aug-3 11:53   0/0
DELETE   Image-nvme-threaded-irq.build2                           Aug-3 12:43   0/0
DELETE   Image-pcie                                               Jul-14 09:05  2/0
KEEP     Image-pcie-nbcon-ppp-usb2-native-right                   Jul-29 13:45  2/16
KEEP     Image-pcie-nbcon-ppp-usb2-native-right.build1            Jul-29 13:39  2/16
DELETE   Image-prev                                               Jul-11 20:21  0/0
DELETE   Image-sart-deferred                                      Jul-13 11:30  0/0
DELETE   Image-sart-handshake                                     Jul-13 11:21  0/0
DELETE   Image-sart-trace                                         Jul-13 12:36  0/0
KEEP     Image-sd-gl9755                                          Aug-2 22:24   2/10
KEEP     Image-sd-gl9755.build1                                   Aug-2 22:17   2/10
DELETE   Image-sdroot-hardened                                    Aug-3 09:59   0/0
DELETE   Image-trackpad-004                                       Jul-24 10:00  0/0
DELETE   Image-trackpad-004-run1                                  Jul-24 10:00  0/0
DELETE   Image-trackpad-motion                                    Jul-25 00:58  0/0
DELETE   Image-trackpad-motion-final-run1                         Jul-25 00:58  0/0
DELETE   Image-trackpad-motion-final-run2                         Jul-25 01:00  0/0
DELETE   Image-trackpad-motion-pre-kaflags-a                      Jul-25 00:47  0/0
DELETE   Image-usb-host                                           Jul-21 11:09  0/0
DELETE   Image-usb2-native-right-nbcon                            Jul-29 13:26  0/0
DELETE   Image-usb2-native-right-nbcon.build1                     Jul-29 13:20  0/0
DELETE   Image-watchdog                                           Jul-11 16:30  0/0
